Req_ID,File_ID,File_Size
171017449,2520477,1685
171017724,12998347,215
171017956,11753447,1822
171018068,10017733,10751
171018650,13823962,17677
171018748,10542230,319
171019511,7040763,684
171019632,4252232,8496
171019973,6408056,147
171020721,7955606,196
171021651,2976119,8945
171021937,10071043,26824
171024605,10896828,519
171024958,12820838,17308
171025991,6408056,147
171027503,7901138,122
171027667,12434132,19517
171028076,11648095,8264
171028858,8658748,10062
171029096,2759864,5905
171029298,1674185,3629
171030208,10187313,13506
171032149,10910402,11444
171032339,6408056,147
171032608,12397922,1744
171032850,1674185,3629
171033471,5736358,4349
171033826,7955606,196
171034205,1674185,3629
171034419,9742976,1715
171034842,6408056,147
171035054,4749342,31459
171035494,250443 7,114
171035548,10597791,19940
171036264,6408056,147
171039554,6408056,147
171039815,10137321,2285
171040062,11411148,2389
171040328,4769593,4739
171040377,7955606,196
171041915,1674185,3629
171042710,6408056,147
171043123,8589288,18159
171043244,2082277,15195
171044178,9704607,7915
171044284,10102792,8809
171044312,7885022,24147
171044791,238169 1,705
171045017,1863569,22797
171045316,1674185,3629
171045331,6408056,147
171046178,4252232,8496
171046474,966794 1,1010
171047831,6408056,147
171049317,7622199,140
171049580,11753447,1822
171050216,1674185,3629
171051739,3920523,26770
171051992,1674185,3629
171052368,6408056,147
171052946,7040763,684
171055194,6408056,147
171055377,6408056,147
171055407,1674185,3629
171055557,1136285,7723
171056561,6690406,24798
171056580,10910402,11444
171056940,13397505,1155
171057116,11753447,1822
171057163,6408056,147
171057464,1674185,3629
171057487,8323738,3739
171058603,6408056,147
171059696,1674185,3629
171059910,10496605,18594
171062552,4252232,8496
171062616,5013042,7356
171062766,6408056,147
171064511,6408056,147
171065365,6408056,147
171066156,2897514,1417
171066327,13927696,10198
171066626,8114684,11266
171067018,9772149,15034
171067637,7040763,684
171068926,10896828,519
171069182,7040763,684
171069289,6408056,147
171069603,1674185,3629
171069761,6408056,147
171069765,1674185,3629
171069973,6408056,147
171070349,1674185,3629
171072454,6408056,147
171072643,12302276,17211
171073058,6498101,16933
171073202,1674185,3629
171073615,2813148,781
171073815,9141191,11676
171074080,6396370,5055
171075011,6408056,147
171075163,1674185,3629
171076067,2778357,122
171076191,6517356,6345
171076896,9867234,11290
171077384,9818454,2622
171077422,2897514,1417
171077778,5360235,62713
171079061,12397922,1744
171079206,2784088,12702
171079498,6211549,489
171079782,1674185,3629
171080120,6408056,147
171080207,7040763,684
171080334,1271796,3994
171080400,6408056,147
171081182,7405732,1564
171081195,6408056,147
171081749,7552792,730
171081872,13621708,2134
171082362,7040763,684
171084716,5013042,7356
171086976,10299991,69043
171086992,6408056,147
171087702,11757035,18624
171088574,4749342,31459
171088880,6408056,147
171089191,7622199,140
171090308,2778357,122
171090772,7150142,42297
171091150,6954699,3677
171091969,1383944,6789
171092976,9024072,2048
171093271,1265602,1602
171095879,1674185,3629
171095917,1326714,1025
171096968,1674185,3629
171096999,5026747,16278
171098875,4749342,31459
171100276,6408056,147
171101352,3920523,26770
171101799,4781590,509
171103421,2310879,4923
171104461,7405732,1564
171104487,135478 2,250
171104526,8603259,676
171105276,6408056,147
171105479,135478 2,250
171105901,6408056,147
171105935,11502815,14537
171108409,1674185,3629
171108940,2897514,1417
171109156,12929352,31819
171109804,7040961,11543
171110086,7622199,140
171110308,7622199,140
171111230,5224361,3743
171112054,6408056,147
171113011,908501 6,17
171113026,12434132,19517
171113889,6408056,147
171115215,7622199,140
171115753,6408056,147
171116814,11753447,1822
171116886,6408056,147
171118000,9742976,1715
171118470,6408056,147
171119002,6408056,147
171120006,1674185,3629
171120418,3920523,26770
171120830,1674185,3629
171121122,13858402,14659
171121919,6599376,4137
171122317,1674185,3629
171122577,7062004,7674
171123089,4781590,509
171123247,4105358,19001
171123560,7040763,684
171123688,2778357,122
171123819,6408056,147
171124583,8130566,9064
171124817,6237498,19794
171125434,6862099,8217
171125916,12434132,19517
171127237,2375214,21233
171127374,11410883,11333
171127869,14719 88,99
171129123,6408056,147
171130408,7152772,3696
171131452,1674185,3629
171131566,10542230,319
171131665,7552792,730
171131713,13264797,16412
171131831,7405732,1564
171131945,6408056,147
171132089,6408056,147
171132349,10013877,7463
171132394,6408056,147
171132771,2571673,725
171132844,1674185,3629
171133420,11429308,6054
171133636,6408056,147
171133674,7995707,2550
171134438,4781590,509
171137279,7405732,1564
171137779,6408056,147
171138285,1674185,3629
171138398,7405732,1564
171138409,6408056,147
171139262,1674185,3629
171139993,10896828,519
171140045,7898751,17094
171140183,11589326,5100
171141112,7405732,1564
171141279,7901138,122
171141469,9742976,1715
171142716,11753447,1822
171143011,10896828,519
171143087,966794 1,1010
171143198,8809034,1817
171143841,1674185,3629
171143909,6438604,14814
171144167,1674185,3629
171144614,91867 92,84
171144828,6408056,147
171144830,1674185,3629
171145805,1674185,3629
171146156,11641826,9855
171146589,7339909,36583
171146690,10945200,9288
171146835,2892960,17529
171147561,13264797,16412
171147810,3671008,2088
171148807,10896828,519
171149272,1674185,3629
171149306,3049843,348
171149716,12434132,19517
171150278,6408056,147
171150397,8337783,18169
171151398,13220065,15897
171151641,10003775,2980
171151659,6408056,147
171152696,3920523,26770
171152753,1674185,3629
171155204,12585241,89074
171155551,2778357,122
171156175,1674185,3629
171156796,9742976,1715
171157959,9742976,1715
171158496,7150142,42297
171158605,13858402,14659
171158719,11631907,11797
171158870,13862870,7367
171159228,11289800,10757281
171159469,6408056,147
171161822,6408056,147
171161962,6408056,147
171162821,6408056,147
171162916,6408056,147
171163252,7488768,3711
171165154,9149427,654
171165444,7405732,1564
171166691,5976317,14205
171167176,6408056,147
171167224,7040763,684
171167285,11885162,9790
171167379,11401086,19683
171169144,6408056,147
171169166,11753447,1822
171169437,2897514,1417
171169586,7955606,196
171170082,8603259,676
171170197,1998755,24565
171170222,4135896,8492
171170990,6408056,147
171171144,6408056,147
171171224,7405732,1564
171171450,11753447,1822
171171648,7230404,2194
171172402,1674185,3629
171173047,7040763,684
171173690,1699425,2479
171174059,7405732,1564
171174341,6408056,147
171176369,6408056,147
171176634,10778380,26507
171177171,7622199,140
171178179,2813148,781
171179271,788059 4,4841
171180304,13397505,1155
171181293,3358018,9789
171182470,1674185,3629
171183067,1674185,3629
171183669,6408056,147
171183950,1674185,3629
171184199,11373862,51506
171184212,7405732,1564
171184373,1674185,3629
171184596,6408056,147
171185369,6408056,147
171185757,10579963,8413
171186892,13621708,2134
171187873,10542230,319
171189259,8673062,10859
171189649,1674185,3629
171190406,2897514,1417
171190509,6408056,147
171191470,4749342,31459
171191849,6408056,147
171192153,7405732,1564
171192366,13979121,73083
171192743,13445646,14394
171192890,6408056,147
171193735,7405732,1564
171193852,13900924,34095
171193873,6954699,3677
171194216,7040763,684
171194314,10542230,319
171195415,7040763,684
171195936,6862099,8217
171196223,11203892,10520
171196369,13029550,874
171196900,9443381,118089
171196936,12434132,19517
171197391,10542230,319
171197710,1674185,3629
171197778,1674185,3629
171199043,12804850,1673
171199346,2778357,122
171200015,6408056,147
171200310,1674185,3629
171200833,9284471,15580
171200978,6498101,16933
171201161,7622199,140
171201521,3934361,1467
171201570,4521659,12536
171201747,1674185,3629
171201788,7040763,684
171202815,6954699,3677
171202829,6408056,147
171202958,9890049,3623
171203222,1674185,3629
171203812,6408056,147
171203911,2813148,781
171204058,7405732,1564
171204294,8323738,3739
171205147,6408056,147
171205466,10003775,2980
171206212,7405732,1564
171207241,6408056,147
171208271,2379331,95981
171208811,3049843,348
171208903,6408056,147
171208909,8039852,15992
171209237,2897514,1417
171209774,6408056,147
171209907,6408056,147
171210159,3934361,1467
171210628,9090859,4961
171211944,6408056,147
171212306,6862099,8217
171213094,7405732,1564
171214940,7955606,196
171215484,6408056,147
171215811,10902754,12166
171216810,3617634,214
171219707,11753447,1822
171220766,4749342,31459
171223858,11753447,1822
171223877,10187313,13506
171225139,1674185,3629
171225383,7405732,1564
171226035,3517078,372
171226226,12998347,215
171226994,11350088,4197
171227434,6408056,147
171228270,8020917,48066
171228724,11602080,25790
171229009,3517078,372
171229460,7040763,684
171231785,7405732,1564
171232047,6408056,147
171232518,5287398,7140
171232867,13454047,14017
171233127,12615000,42429
171233701,1674185,3629
171235858,12434132,19517
171235894,6408056,147
171236642,7405732,1564
171237364,6408056,147
171239233,9647484,14046
171239488,2028585,34395
171239693,1674185,3629
171240596,7405732,1564
171240681,1674185,3629
171241680,5360235,62713
171242453,7405732,1564
171242778,6408056,147
171242788,238169 1,705
171243107,6408056,147
171244103,5091302,12247
171244495,7040763,684
171245213,6408056,147
171245389,6408056,147
171245971,8643734,132
171246677,2865752,14770
171247278,175632 1,117
